College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Balaji Law College, Pune",https://www.careers360.com/colleges/balaji-law-college-pune,Law,Satara,Private,LLB,3 Years,"Boys Hostel, Girls Hostel"
"Balaji Law College, Pune",https://www.careers360.com/colleges/balaji-law-college-pune,Law,Satara,Private,BA LLB,5 Years,"Boys Hostel, Girls Hostel"
"Balaji Law College, Pune",https://www.careers360.com/colleges/balaji-law-college-pune,Law,Satara,Private,Diploma in Taxation Law,1 Year,"Boys Hostel, Girls Hostel"
"Barrister AR Antulay College of Law, Mumbai",https://www.careers360.com/colleges/barrister-ar-antulay-college-of-law-mumbai,Law,Satara,Private,LLB,3 Years,N/A
"Bhagubai Changu Thakur College of Law, New Panvel",https://www.careers360.com/colleges/bhagubai-changu-thakur-college-of-law-new-panvel,Law,Satara,Private,LLB,3 Years,N/A
"Bhagubai Changu Thakur College of Law, New Panvel",https://www.careers360.com/colleges/bhagubai-changu-thakur-college-of-law-new-panvel,Law,Satara,Private,BLS LLB,5 Years,N/A
"Bhagubai Changu Thakur College of Law, New Panvel",https://www.careers360.com/colleges/bhagubai-changu-thakur-college-of-law-new-panvel,Law,Satara,Private,LLM Criminal Law,2 Years,N/A
"Bhagubai Changu Thakur College of Law, New Panvel",https://www.careers360.com/colleges/bhagubai-changu-thakur-college-of-law-new-panvel,Law,Satara,Private,LLM Business Law,2 Years,N/A
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,LLB,3 Years,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,BBA LLB Self Finance,5 Years,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,BA LLB,5 Years,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,LLM Two Year,2 Years,"Boys Hostel, Girls Hostel"
