College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"GD Sawant Arts Commerce Science and BCS College, Nashik",https://www.careers360.com/colleges/gd-sawant-arts-commerce-science-and-bcs-college-nashik,Management,Nashik,Private,M.Sc Computer Science,2 Years,N/A
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BE Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,MBA,2 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BE Electrical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BE Automation and Robotics,4 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BE Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BBA,3 Years,"Boys Hostel, Girls Hostel"
"Guru Gobind Singh College of Engineering and Research Centre, Nashik",https://www.careers360.com/colleges/guru-gobind-singh-college-of-engineering-and-research-centre-nashik,Management,Nashik,Private,BE Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Institute of Management Research and Technology, Nashik",https://www.careers360.com/colleges/institute-of-management-research-and-technology-nashik,Management,Nashik,Private,MBA Human Resource Development,2 Years,N/A
"Institute of Management Research and Technology, Nashik",https://www.careers360.com/colleges/institute-of-management-research-and-technology-nashik,Management,Nashik,Private,MBA Information Technology,2 Years,N/A
"Institute of Management Research and Technology, Nashik",https://www.careers360.com/colleges/institute-of-management-research-and-technology-nashik,Management,Nashik,Private,MBA,2 Years,N/A
"Institute of Management Research and Technology, Nashik",https://www.careers360.com/colleges/institute-of-management-research-and-technology-nashik,Management,Nashik,Private,PGDHM,1 Year,N/A
"Institute of Management Research and Technology, Nashik",https://www.careers360.com/colleges/institute-of-management-research-and-technology-nashik,Management,Nashik,Private,PGDCM,1 Year,N/A
"JDC Bytco Institute of Management Studies and Research, Nashik",https://www.careers360.com/colleges/jdc-bytco-institute-of-management-studies-and-research-nashik,Management,Nashik,Private,MBA,2 Years,N/A
"JDC Bytco Institute of Management Studies and Research, Nashik",https://www.careers360.com/colleges/jdc-bytco-institute-of-management-studies-and-research-nashik,Management,Nashik,Private,Ph.D Management,6 Years,N/A
"Karmaveer Shantarmbapu Kondaji Wavare Arts Science and Commerce College, Nashik",https://www.careers360.com/colleges/karmaveer-shantarmbapu-kondaji-wavare-arts-science-and-commerce-college-nashik,Management,Nashik,N/A,B.Sc Microbiology,3 Years,N/A
"Karmaveer Shantarmbapu Kondaji Wavare Arts Science and Commerce College, Nashik",https://www.careers360.com/colleges/karmaveer-shantarmbapu-kondaji-wavare-arts-science-and-commerce-college-nashik,Management,Nashik,N/A,B.Sc,3 Years,N/A
"Karmaveer Shantarmbapu Kondaji Wavare Arts Science and Commerce College, Nashik",https://www.careers360.com/colleges/karmaveer-shantarmbapu-kondaji-wavare-arts-science-and-commerce-college-nashik,Management,Nashik,N/A,B.Sc Zoology,3 Years,N/A
"Karmaveer Shantarmbapu Kondaji Wavare Arts Science and Commerce College, Nashik",https://www.careers360.com/colleges/karmaveer-shantarmbapu-kondaji-wavare-arts-science-and-commerce-college-nashik,Management,Nashik,N/A,B.Sc Computer Science,3 Years,N/A
